Channel ID,Channel URL,Channel title
UC-9b7aDP6ZN0coj9-xFnrtw,http://www.youtube.com/channel/UC-9b7aDP6ZN0coj9-xFnrtw,Astrum
UC-RKpEc4eE9PwJaupN91xYQ,http://www.youtube.com/channel/UC-RKpEc4eE9PwJaupN91xYQ,Sprouts
UC00VoVV2GIaV1p3o9Gq-7bQ,http://www.youtube.com/channel/UC00VoVV2GIaV1p3o9Gq-7bQ,Kahon
UC00l6atcRijEUpejkipOBsA,http://www.youtube.com/channel/UC00l6atcRijEUpejkipOBsA,bigyan - বিজ্ঞান
UC0UqslUS-xo3i5K67MT40cw,http://www.youtube.com/channel/UC0UqslUS-xo3i5K67MT40cw,Business Inspection BD
UC0p5jTq6Xx_DosDFxVXnWaQ,http://www.youtube.com/channel/UC0p5jTq6Xx_DosDFxVXnWaQ,The Economist
UC16niRr50-MSBwiO3YDb3RA,http://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA,BBC News
UC1D3yD4wlPMico0dss264XA,http://www.youtube.com/channel/UC1D3yD4wlPMico0dss264XA,NileBlue
UC1VLQPn9cYSqx8plbk9RxxQ,http://www.youtube.com/channel/UC1VLQPn9cYSqx8plbk9RxxQ,The Action Lab
UC1ZBQ-F-yktYD4m5AzM6pww,http://www.youtube.com/channel/UC1ZBQ-F-yktYD4m5AzM6pww,Mustard
UC1i-BQ8HHnZCQFlZS06ZwPQ,http://www.youtube.com/channel/UC1i-BQ8HHnZCQFlZS06ZwPQ,ইতিহাসের গল্প - Itihaser Golpo
UC1raaXFgsFBSFR8qNgchF2g,http://www.youtube.com/channel/UC1raaXFgsFBSFR8qNgchF2g,Geodiode
UC1zNGfCg9yLnhjVW1vDhNmA,http://www.youtube.com/channel/UC1zNGfCg9yLnhjVW1vDhNmA,Sorwar Alam
UC2ObyKO-GV-W0smZqBN_VWw,http://www.youtube.com/channel/UC2ObyKO-GV-W0smZqBN_VWw,Waterlust
UC3MBWAo7P6nb_1If0qoZwhQ,http://www.youtube.com/channel/UC3MBWAo7P6nb_1If0qoZwhQ,GOWILD
UC3MJVwoumJMTqCe9IaEhtiw,http://www.youtube.com/channel/UC3MJVwoumJMTqCe9IaEhtiw,World at War
UC4QZ_LsYcvcq7qOsOhpAX4A,http://www.youtube.com/channel/UC4QZ_LsYcvcq7qOsOhpAX4A,ColdFusion
UC4SUWizzKc1tptprBkWjX2Q,http://www.youtube.com/channel/UC4SUWizzKc1tptprBkWjX2Q,South China Morning Post
UC4XyS8FNTjHdfIrU7qIkTRw,http://www.youtube.com/channel/UC4XyS8FNTjHdfIrU7qIkTRw,Vale of Tales
UC4Yctcn-vyGjB_gLGFovsxA,http://www.youtube.com/channel/UC4Yctcn-vyGjB_gLGFovsxA,Jotangko Brand
UC4jHfw4LOnSdKNTgZqOeIzQ,http://www.youtube.com/channel/UC4jHfw4LOnSdKNTgZqOeIzQ,Deadliest Roads
UC4s4I_0RxKMgp-HKRVagRnw,http://www.youtube.com/channel/UC4s4I_0RxKMgp-HKRVagRnw,Nick Keomahavong
UC52X5wxOL_s5yw0dQk7NtgA,http://www.youtube.com/channel/UC52X5wxOL_s5yw0dQk7NtgA,Associated Press
UC57BsWaoAYcOgjdA4ax-1Vg,http://www.youtube.com/channel/UC57BsWaoAYcOgjdA4ax-1Vg,StoryHead
UC5Axef4J11DIu17y2RKVqNQ,http://www.youtube.com/channel/UC5Axef4J11DIu17y2RKVqNQ,The Present Past
UC5Kf6iWcqdx3W1kT65_-Tmg,http://www.youtube.com/channel/UC5Kf6iWcqdx3W1kT65_-Tmg,The Sleepy Scientist 
UC5TDeHHF8Igk75B-V_KqFxg,http://www.youtube.com/channel/UC5TDeHHF8Igk75B-V_KqFxg,LawTubeBD
UC5kibYfJ8VDaBOhM29gCI2A,http://www.youtube.com/channel/UC5kibYfJ8VDaBOhM29gCI2A,I'm TahseeNation
UC68KSmHePPePCjW4v57VPQg,http://www.youtube.com/channel/UC68KSmHePPePCjW4v57VPQg,Python Programmer
UC6CnQFvASTtCVs9Pv0UhtBg,http://www.youtube.com/channel/UC6CnQFvASTtCVs9Pv0UhtBg,Sahitya Samahar
UC6QFT2c2MJxID-vxHDeX9XQ,http://www.youtube.com/channel/UC6QFT2c2MJxID-vxHDeX9XQ,Planet Wild
UC6n8I1UDTKP1IWjQMg6_TwA,http://www.youtube.com/channel/UC6n8I1UDTKP1IWjQMg6_TwA,The B1M
UC6nSFpj9HTCZ5t-N3Rm3-HA,http://www.youtube.com/channel/UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce
UC7Ad-Yg5cwbH5zN30sBEECw,http://www.youtube.com/channel/UC7Ad-Yg5cwbH5zN30sBEECw,Eso Golpo Kori Prime | Bengali Classics Stories
UC7KItIAhUn1K1uXDGvM3TKg,http://www.youtube.com/channel/UC7KItIAhUn1K1uXDGvM3TKg,Tim - Reborn History 
UC7KbIaEOuY7H2j-cvhJ3mYA,http://www.youtube.com/channel/UC7KbIaEOuY7H2j-cvhJ3mYA,Search Party
UC7_gcs09iThXybpVgjHZ_7g,http://www.youtube.com/channel/UC7_gcs09iThXybpVgjHZ_7g,PBS Space Time
UC7dbXwuOYfAeb-ni42L6UgQ,http://www.youtube.com/channel/UC7dbXwuOYfAeb-ni42L6UgQ,PPC Finding Studio
UC7fWeaHhqgM4Ry-RMpM2YYw,http://www.youtube.com/channel/UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World
UC82lQ1ns-PfZLeSa7kpGuQg,http://www.youtube.com/channel/UC82lQ1ns-PfZLeSa7kpGuQg,Spds
UC86dbj-lbDks_hZ5gRKL49Q,http://www.youtube.com/channel/UC86dbj-lbDks_hZ5gRKL49Q,AFP News Agency
UC8JT2m0mKEgvEtie3JNKwew,http://www.youtube.com/channel/UC8JT2m0mKEgvEtie3JNKwew,Naked Science
UC9oLvlUBxIKkd2nNLyjmmew,http://www.youtube.com/channel/UC9oLvlUBxIKkd2nNLyjmmew,Al-Monitor
UCA7t2KNolCy9F-COERzxzPA,http://www.youtube.com/channel/UCA7t2KNolCy9F-COERzxzPA,MHS 2.0
UCAq16BuSdaiyhC6wwvUSmYQ,http://www.youtube.com/channel/UCAq16BuSdaiyhC6wwvUSmYQ,EBS WORLD
UCAuUUnT6oDeKwE6v1NGQxug,http://www.youtube.com/channel/UCAuUUnT6oDeKwE6v1NGQxug,TED
UCBFQDmrRK3gNhi0cFZv1uFw,http://www.youtube.com/channel/UCBFQDmrRK3gNhi0cFZv1uFw,Epics of Glory
UCBWJEa2VHKB3PXHYMpgOj1Q,http://www.youtube.com/channel/UCBWJEa2VHKB3PXHYMpgOj1Q,Beautiful World - Documentaries
UCBa659QWEk1AI4Tg--mrJ2A,http://www.youtube.com/channel/UCBa659QWEk1AI4Tg--mrJ2A,Tom Scott
UCBi2mrWuNuyYy4gbM6fU18Q,http://www.youtube.com/channel/UCBi2mrWuNuyYy4gbM6fU18Q,ABC News
UCBovNpFWv8XT3WNG1fnmgyA,http://www.youtube.com/channel/UCBovNpFWv8XT3WNG1fnmgyA,ঠিকানায় খালেদ মুহিউদ্দীন
UCBtTKf5VlXj8wAKMhkntFvA,http://www.youtube.com/channel/UCBtTKf5VlXj8wAKMhkntFvA,itilipi 
UCCAiIjCF3p982t0K5qU_B4g,http://www.youtube.com/channel/UCCAiIjCF3p982t0K5qU_B4g,Safe By Design
UCCInRC_-mCbDo0XvLArVV3Q,http://www.youtube.com/channel/UCCInRC_-mCbDo0XvLArVV3Q,Foreign Affairs
UCCNeGy9esznQIlrVxjBv5YA,http://www.youtube.com/channel/UCCNeGy9esznQIlrVxjBv5YA,Nrisingha Prasad Bhaduri
UCCjyq_K1Xwfg8Lndy7lKMpA,http://www.youtube.com/channel/UCCjyq_K1Xwfg8Lndy7lKMpA,TechCrunch
UCCsREoj8rSRkEvxWqxr74rQ,http://www.youtube.com/channel/UCCsREoj8rSRkEvxWqxr74rQ,Cybernews
UCD_zO_MDaC7MyekAmrn6WVQ,http://www.youtube.com/channel/UCD_zO_MDaC7MyekAmrn6WVQ,Astrum Extra
UCENvPaoLIVhIvCUuzSABG2w,http://www.youtube.com/channel/UCENvPaoLIVhIvCUuzSABG2w,Psyche Talk (Naziur Rahman Nayem)
UCETUe8VnXn1VieGQga8PjMg,http://www.youtube.com/channel/UCETUe8VnXn1VieGQga8PjMg,ট্রাইব ও এডভেঞ্চার -TOA
UCEszqJb1FjYisBevHBIof3g,http://www.youtube.com/channel/UCEszqJb1FjYisBevHBIof3g,Prof James Ker-Lindsay
UCFXad0mx4WxY1fXdbvtg0CQ,http://www.youtube.com/channel/UCFXad0mx4WxY1fXdbvtg0CQ,Fascinating Horror
UCFdTgUEt2-UCVzPwQ8v9jFg,http://www.youtube.com/channel/UCFdTgUEt2-UCVzPwQ8v9jFg,Brain Station
UCFhXFikryT4aFcLkLw2LBLA,http://www.youtube.com/channel/UCFhXFikryT4aFcLkLw2LBLA,NileRed
UCG2bhoFKZJqFNTKpt_qzHuA,http://www.youtube.com/channel/UCG2bhoFKZJqFNTKpt_qzHuA,VICE Forever
UCG5_BraUMNcluZPZ__oOeKg,http://www.youtube.com/channel/UCG5_BraUMNcluZPZ__oOeKg,Natural World Facts
UCGDXj3vSgJ8MCbzbb_C9thA,http://www.youtube.com/channel/UCGDXj3vSgJ8MCbzbb_C9thA,SLICE Full Doc
UCG_rdpyKuxsGIVoHpSWWuyA,http://www.youtube.com/channel/UCG_rdpyKuxsGIVoHpSWWuyA,Zahed's Take
UCGsYPmqG_KHvLKS8atGa8rw,http://www.youtube.com/channel/UCGsYPmqG_KHvLKS8atGa8rw,Studio36
UCHJuQZuzapBh-CuhRYxIZrg,http://www.youtube.com/channel/UCHJuQZuzapBh-CuhRYxIZrg,Insider
UCHMh-RNVGLBoxJEOzjfP_jQ,http://www.youtube.com/channel/UCHMh-RNVGLBoxJEOzjfP_jQ,Dark Tales by 9F10
UCHnj59g7jezwTy5GeL8EA_g,http://www.youtube.com/channel/UCHnj59g7jezwTy5GeL8EA_g,MindYourDecisions
UCHnyfMqiRRG1u-2MsSQLbXA,http://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium
UCHpw8xwDNhU9gdohEcJu4aA,http://www.youtube.com/channel/UCHpw8xwDNhU9gdohEcJu4aA,The Guardian
UCIB65_E_7XEScU2NB135wDw,http://www.youtube.com/channel/UCIB65_E_7XEScU2NB135wDw,Coke Studio Bangla
UCIB_MLJZL0T_s5OUuqhmbVA,http://www.youtube.com/channel/UCIB_MLJZL0T_s5OUuqhmbVA,Down To Earth
